,Name,Position,teamAbbrev,Salary,AvgPointsPerGame
0,Louis Williams,SG,lal,4000.0,32.25
1,Ron Baker,SG,nyk,3000.0,10.25
2,Tim Hardaway Jr.,PG/SG,atl,3400.0,30.5
3,Seth Curry,SG,dal,3400.0,8.75
4,Dorian Finney-Smith,PF,dal,3000.0,0.0
5,Lance Stephenson,SF,nor,3800.0,37.5
6,Luis Scola,PF/C,bkn,3400.0,8.75
7,Robin Lopez,C,chi,4400.0,17.25
8,Cristiano Felicio,C,chi,3000.0,2.75
9,Vince Carter,SG,mem,3800.0,11.75
10,James Harden,PG/SG,hou,11200.0,66.5
11,Jrue Holiday,PG,nor,6500.0,0.0
12,Tim Frazier,PG,nor,6200.0,7.75
13,Boban Marjanovic,C,det,3000.0,0.0
14,Wade Baldwin,PG,mem,3300.0,15.25
15,Lance Thomas,SF/PF,nyk,3000.0,5.5
16,Bobby Brown,PG,hou,3000.0,0.0
17,Carmelo Anthony,SF,nyk,7500.0,31.25
18,Tomas Satoransky,PG,was,3000.0,9.0
19,Nicolas Batum,SG/SF,cha,6600.0,36.75
20,Jahlil Okafor,PF/C,phi,4900.0,21.75
21,Tyler Ennis,PG,hou,3000.0,4.75
22,Dragan Bender,SF/PF,pho,3000.0,0.0
23,Rondae Hollis-Jefferson,SF,bkn,3700.0,15.5
24,Kyle Wiltjer,PF,hou,3000.0,2.0
25,Shelvin Mack,PG,uta,3000.0,13.0
26,Brian Roberts,PG,cha,3000.0,0.0
27,Kent Bazemore,SG/SF,atl,4900.0,26.5
28,Dwyane Wade,SG,chi,6500.0,26.25
29,Noah Vonleh,PF,por,3000.0,0.0
30,John Wall,PG,was,8200.0,60.75
31,Quincy Acy,PF,dal,3000.0,1.25
32,Justin Anderson,SF,dal,3200.0,17.5
33,Jeremy Lamb,SG/SF,cha,3100.0,0.0
34,Chris Paul,PG,lac,8400.0,54.25
35,C.J. McCollum,PG/SG,por,7200.0,37.5
36,Clint Capela,PF/C,hou,5500.0,18.5
37,Alex Len,C,pho,3900.0,33.0
38,Al-Farouq Aminu,PF,por,4400.0,26.25
39,Patrick Patterson,PF,tor,3800.0,17.25
