,Name,Position,teamAbbrev,Salary,AvgPointsPerGame
0,Jaylen Brown,SG,BOS,3900.0,24.1
1,Jason Smith,PF,WAS,4000.0,23.67
2,James Ennis,SG,MEM,3200.0,17.93
3,Terrence Ross,SG,ORL,4000.0,21.84
4,J.J. Barea,PG,DAL,4400.0,23.92
5,Trevor Ariza,SF,HOU,4900.0,26.33
6,Jonathon Simmons,SG,ORL,4300.0,22.85
7,Robert Covington,SG,PHI,5000.0,26.33
8,Buddy Hield,SG,SAC,5100.0,26.79
9,James Johnson,PF,MIA,5200.0,27.22
10,Chris Paul,PG,HOU,8000.0,41.54
11,James Harden,SG,HOU,10200.0,52.8
12,Al Horford,PF,BOS,6200.0,31.81
13,Dragan Bender,PF,PHO,3000.0,15.33
14,Mario Chalmers,PG,MEM,3500.0,17.79
15,Jayson Tatum,SF,BOS,4100.0,20.75
16,Marcus Smart,PG,BOS,5000.0,25.24
17,Dario Saric,SF,PHI,5700.0,28.55
18,Malcolm Brogdon,PG,MIL,5100.0,25.31
19,Danny Green,SG,SAS,4000.0,19.76
20,Kelly Olynyk,PF,MIA,4800.0,23.73
21,Lance Stephenson,SG,IND,4800.0,23.72
22,John Wall,PG,WAS,9800.0,48.18
23,Dewayne Dedmon,C,ATL,4500.0,22.05
24,Skal Labissiere,PF,SAC,4800.0,23.52
25,Darren Collison,PG,IND,5300.0,25.74
26,Andre Drummond,C,DET,7600.0,36.87
27,Dejounte Murray,PG,SAS,4100.0,19.71
28,Avery Bradley,PG,DET,5500.0,26.3
29,Ben Simmons,PG,PHI,7100.0,33.92
30,Rudy Gay,SF,SAS,5500.0,26.26
31,Khris Middleton,SG,MIL,6400.0,30.47
32,E'Twaun Moore,SG,NOP,3600.0,17.08
33,Garrett Temple,PG,SAC,3800.0,17.9
34,Eric Gordon,SG,HOU,4800.0,22.58
35,Bradley Beal,SG,WAS,7000.0,32.82
36,Victor Oladipo,SG,IND,6800.0,31.89
37,Marc Gasol,C,MEM,7800.0,36.43
38,Yogi Ferrell,PG,DAL,4500.0,20.97
39,Marquese Chriss,PF,PHO,5100.0,23.79
40,Hassan Whiteside,C,MIA,8400.0,39.16
41,D'Angelo Russell,PG,BKN,6600.0,30.6
42,Ricky Rubio,PG,UTA,7000.0,32.48
43,TJ Warren,SF,PHO,5300.0,24.53
44,Marcin Gortat,C,WAS,5200.0,24
45,Ryan Anderson,PF,HOU,4200.0,19.3
46,Anthony Davis,PF,NOP,10500.0,48.28
47,Andrew Harrison,PG,MEM,3600.0,16.56
48,Mike Muscala,C,ATL,3500.0,16.09
49,Jeremy Lin,SG,BKN,6300.0,28.94
50,JaMychal Green,SF,MEM,5200.0,23.87
51,Jrue Holiday,PG,NOP,7000.0,31.98
52,Myles Turner,C,IND,7700.0,35.22
53,Greg Monroe,PF,MIL,5400.0,24.61
54,Jeff Teague,PG,MIN,5800.0,26.43
55,Kyrie Irving,PG,BOS,8500.0,38.68
56,Mike Conley,PG,MEM,7700.0,34.95
57,Frank Kaminsky,PF,CHA,4600.0,20.83
58,Rudy Gobert,C,UTA,8800.0,39.84
59,Jusuf Nurkic,C,POR,7500.0,33.88
60,Thaddeus Young,PF,IND,5700.0,25.69
61,Kemba Walker,PG,CHA,7900.0,35.53
62,Otto Porter,SF,WAS,5700.0,25.67
63,Taurean Prince,SG,ATL,5000.0,22.5
64,Joffrey Lauvergne,PF,SAS,3000.0,13.48
65,Dennis Smith Jr.,PG,DAL,6800.0,30.51
66,Damian Lillard,PG,POR,10400.0,46.68
67,DeMarcus Cousins,PF,NOP,10000.0,44.86
68,Ish Smith,PG,DET,4100.0,18.41
69,Josh Richardson,SG,MIA,4900.0,21.94
70,DeMarre Carroll,SF,BKN,4000.0,17.9
71,Dwight Howard,C,CHA,6500.0,29.06
72,Thon Maker,PF,MIL,3800.0,16.93
73,Dirk Nowitzki,PF,DAL,5200.0,23.11
74,Devin Booker,SG,PHO,7000.0,31.02
75,Harrison Barnes,SF,DAL,5700.0,25.26
76,Zach Randolph,PF,SAC,5600.0,24.75
77,Jimmy Butler,SG,MIN,8100.0,35.75
78,Terry Rozier,PG,BOS,3800.0,16.71
79,Dion Waiters,SG,MIA,5600.0,24.6
80,Derrick Favors,PF,UTA,5500.0,24.09
81,Joe Johnson,SG,UTA,3800.0,16.58
82,Josh Jackson,SF,PHO,4900.0,21.34
83,Gorgui Dieng,PF,MIN,4000.0,17.4
84,Ian Mahinmi,C,WAS,3900.0,16.91
85,J.J. Redick,SG,PHI,4500.0,19.51
86,Pau Gasol,PF,SAS,5800.0,25.2
87,Vince Carter,SG,SAC,3000.0,13.02
88,George Hill,PG,SAC,5500.0,23.8
89,Trevor Booker,PF,BKN,4400.0,19.06
90,Aaron Gordon,SF,ORL,6900.0,29.84
91,Eric Bledsoe,PG,PHO,7600.0,32.75
92,Dennis Schroder,PG,ATL,7400.0,31.84
93,Wesley Matthews,SG,DAL,4900.0,21.07
94,Giannis Antetokounmpo,PG,MIL,10300.0,43.91
95,Kyle Anderson,SG,SAS,4700.0,20
96,LaMarcus Aldridge,PF,SAS,7300.0,30.99
97,Paul Millsap,PF,DEN,7200.0,30.58
98,Cory Joseph,PG,IND,4000.0,16.95
99,Tobias Harris,SF,DET,5600.0,23.74
100,Jeremy Lamb,SG,CHA,5700.0,24.14
101,Dante Cunningham,SF,NOP,3000.0,12.73
102,Goran Dragic,PG,MIA,7100.0,29.96
103,Jerryd Bayless,PG,PHI,3800.0,15.98
104,Kelly Oubre,SG,WAS,3800.0,15.79
105,Shabazz Napier,PG,POR,3300.0,13.7
106,Clint Capela,C,HOU,5800.0,24.04
107,Dwayne Bacon,SG,CHA,3000.0,12.38
108,Karl-Anthony Towns,C,MIN,9400.0,38.78
109,Evan Turner,SG,POR,5500.0,22.65
110,Taj Gibson,PF,MIN,4300.0,17.69
111,Rondae Hollis-Jefferson,SF,BKN,5000.0,20.55
112,Rodney Hood,SG,UTA,5800.0,23.79
113,Marvin Williams,SF,CHA,5000.0,20.43
114,Will Barton,SG,DEN,5300.0,21.69
115,Patty Mills,PG,SAS,4700.0,19.24
116,Andrew Wiggins,SF,MIN,6000.0,24.47
117,Nikola Vucevic,C,ORL,7400.0,30.14
118,Aron Baynes,C,BOS,3300.0,13.4
119,Manu Ginobili,SG,SAS,3600.0,14.58
120,Amir Johnson,PF,PHI,3600.0,14.49
121,Bojan Bogdanovic,SF,IND,4400.0,17.75
122,Moe Harkless,SF,POR,4600.0,18.31
123,Kent Bazemore,SG,ATL,5600.0,22.09
124,Reggie Jackson,PG,DET,5300.0,20.88
125,Ersan Ilyasova,SF,ATL,4800.0,18.85
126,Jon Leuer,PF,DET,4200.0,16.51
127,Malik Monk,PG,CHA,3700.0,14.5
128,Willie Cauley-Stein,PF,SAC,5900.0,23
129,Al-Farouq Aminu,SF,POR,5100.0,19.85
130,Tony Snell,SG,MIL,3600.0,13.95
131,Nikola Jokic,PF,DEN,9100.0,35.03
132,Caris LeVert,PG,BKN,4100.0,15.59
133,Gary Harris,SG,DEN,5700.0,21.67
134,Elfrid Payton,PG,ORL,7100.0,26.91
135,D.J. Augustin,PG,ORL,3100.0,11.76
136,Arron Afflalo,SG,ORL,3300.0,12.49
137,Timofey Mozgov,C,BKN,3900.0,14.73
138,Mason Plumlee,PF,DEN,3700.0,13.91
139,Cody Zeller,C,CHA,4100.0,15.36
140,Matthew Dellavedova,PG,MIL,3100.0,11.59
141,Mirza Teletovic,SF,MIL,3000.0,11.22
142,Tyler Johnson,PG,MIA,4800.0,17.95
143,De'Aaron Fox,PG,SAC,5700.0,20.91
144,Evan Fournier,SG,ORL,5100.0,18.69
145,Nerlens Noel,C,DAL,5300.0,19.4
146,Cheick Diallo,PF,NOP,3400.0,12.36
147,Stanley Johnson,SG,DET,4000.0,14.57
148,Ed Davis,PF,POR,3100.0,11.24
149,Joe Ingles,SG,UTA,4500.0,16.29
150,Chandler Parsons,SF,MEM,4100.0,14.75
151,P.J. Tucker,SF,HOU,3500.0,12.55
152,Allen Crabbe,SG,BKN,4600.0,16.43
153,Bismack Biyombo,PF,ORL,3800.0,13.56
154,Domantas Sabonis,PF,IND,3200.0,11.4
155,Alex Len,PF,PHO,4100.0,14.54
156,Justise Winslow,SF,MIA,4300.0,15.1
157,John Collins,PF,ATL,4600.0,16.15
158,Brandan Wright,PF,MEM,3400.0,11.91
159,Caleb Swanigan,PF,POR,4400.0,15.31
160,Kosta Koufos,C,SAC,3500.0,12.06
161,Wilson Chandler,SF,DEN,5000.0,17.16
162,Jamal Murray,PG,DEN,5600.0,19.05
163,Ian Clark,PG,NOP,3500.0,11.77
164,Donovan Mitchell,PG,UTA,3900.0,13.11
165,Emmanuel Mudiay,PG,DEN,4300.0,14.38
166,Boban Marjanovic,C,DET,3700.0,12.32
167,Devin Harris,PG,DAL,3000.0,9.73
168,Meyers Leonard,PF,POR,3000.0,9.63
169,Tony Allen,SG,NOP,3500.0,11.17
170,T.J. McConnell,PG,PHI,3400.0,10.73
171,Malcolm Delaney,PG,ATL,3000.0,9.44
172,Jodie Meeks,SG,WAS,3300.0,10.22
173,Malachi Richardson,SG,SAC,3000.0,9.2
174,Thabo Sefolosha,SG,UTA,3200.0,9.82
175,Tyreke Evans,SG,MEM,5300.0,16.17
176,Joel Embiid,C,PHI,7300.0,21.92
177,Markelle Fultz,PG,PHI,6100.0,18.2
178,Mike Scott,PF,WAS,3000.0,8.82
179,Langston Galloway,PG,DET,3000.0,8.77
180,Marco Belinelli,SG,ATL,3300.0,9.58
181,Alec Burks,PG,UTA,3600.0,10.43
182,Dorian Finney-Smith,SF,DAL,3000.0,8.33
183,Pat Connaughton,SG,POR,3000.0,8.34
184,Tyson Chandler,C,PHO,4200.0,11.65
185,Tim Frazier,PG,WAS,3700.0,10.17
186,Tyler Ulis,PG,PHO,4000.0,10.99
187,DeAndre Bembry,SG,ATL,3300.0,8.62
188,Julyan Stone,PG,CHA,3000.0,7.76
189,Brandon Paul,PG,SAS,3000.0,7.47
190,Juan Hernangomez,SF,DEN,4200.0,10.02
191,Troy Daniels,SG,PHO,3000.0,7.12
192,Mario Hezonja,SG,ORL,3500.0,8.03
193,Anthony Tolliver,SF,DET,3000.0,6.84
194,Al Jefferson,PF,IND,3500.0,7.83
195,D.J. Wilson,SF,MIL,3000.0,6.7
196,Tyus Jones,PG,MIN,3000.0,6.68
197,Dillon Brooks,SG,MEM,3100.0,6.89
198,Sean Kilpatrick,PG,BKN,4300.0,9.54
199,Semi Ojeleye,SG,BOS,3000.0,6.6
200,Luc Richard Mbah a Moute,SF,HOU,3200.0,7.05
201,Jahlil Okafor,C,PHI,3800.0,8.22
202,Nene Hilario,C,HOU,3500.0,7.52
203,Jonathan Isaac,SF,ORL,4000.0,8.51
204,Jeff Withey,C,DAL,3000.0,6
205,Darius Miller,SF,NOP,3000.0,5.85
206,Quincy Acy,PF,BKN,3000.0,5.73
207,Guerschon Yabusele,PF,BOS,3000.0,5.68
208,Joe Harris,SG,BKN,3000.0,5.58
209,Dwight Powell,PF,DAL,3400.0,6.21
210,Jamal Crawford,SG,MIN,3700.0,6.72
211,Shabazz Muhammad,SG,MIN,3200.0,5.68
212,Justin Anderson,SF,PHI,3000.0,5.32
213,Jordan Crawford,PG,NOP,3900.0,6.8
214,Raulzinho Neto,PG,UTA,3100.0,5.18
215,Jason Terry,PG,MIL,3000.0,4.95
216,Nemanja Bjelica,SF,MIN,3300.0,5.3
217,Jordan Mickey,PF,MIA,3000.0,4.84
218,Wayne Ellington,SG,MIA,3300.0,5.15
219,Ekpe Udoh,PF,UTA,3000.0,4.37
220,Tyler Dorsey,PG,ATL,3000.0,3.1
221,Jarrett Allen,PF,BKN,3800.0,3.63
222,Treveon Graham,SG,CHA,3000.0,2.81
