,Name,Position,teamAbbrev,Salary,AvgPointsPerGame
0,Brett Hundley,QB,team,5100.0,16.67
1,Blake Bortles,QB,team,4700.0,15.04
2,Tyrod Taylor,QB,team,5100.0,16.09
3,Ryan Fitzpatrick,QB,team,5000.0,15.74
4,Tom Brady,QB,team,8000.0,24.88
5,Jay Cutler,QB,team,4700.0,14.49
6,C.J. Beathard,QB,team,4900.0,15.07
7,Russell Wilson,QB,team,6400.0,19.55
8,DeShone Kizer,QB,team,4900.0,14.56
9,Carson Wentz,QB,team,6700.0,19.86
10,Cam Newton,QB,team,7000.0,20.52
11,Trevor Siemian,QB,team,5400.0,15.76
12,Eli Manning,QB,team,4800.0,14
13,Alex Smith,QB,team,6400.0,18.64
14,Dak Prescott,QB,team,7300.0,20.99
15,Ben Roethlisberger,QB,team,6200.0,17.63
16,Jacoby Brissett,QB,team,5000.0,14.16
17,Derek Carr,QB,team,6000.0,16.98
18,Case Keenum,QB,team,5000.0,14.17
19,Jared Goff,QB,team,5800.0,16.28
20,Joe Flacco,QB,team,4700.0,13.2
21,Josh McCown,QB,team,5200.0,14.55
22,Andy Dalton,QB,team,5700.0,15.63
23,Kirk Cousins,QB,team,6500.0,17.82
24,Philip Rivers,QB,team,5300.0,14.4
25,Matt Ryan,QB,team,7500.0,19.79
26,Marcus Mariota,QB,team,6900.0,18
27,Carson Palmer,QB,team,6600.0,17.17
28,Drew Brees,QB,team,7600.0,19.14
29,Mitchell Trubisky,QB,team,4600.0,10.87
30,Isaiah Crowell,RB,team,4000.0,12.52
31,Devonta Freeman,RB,team,7300.0,21.62
32,Joe Mixon,RB,team,5000.0,14.59
33,Melvin Gordon,RB,team,7000.0,20.35
34,Jay Ajayi,RB,team,6200.0,17.52
35,Jonathan Stewart,RB,team,3800.0,10.74
36,LeSean McCoy,RB,team,7400.0,20.89
37,Frank Gore,RB,team,4100.0,11.52
38,Kareem Hunt,RB,team,8800.0,24.66
39,Marshawn Lynch,RB,team,4600.0,12.88
40,Mark Ingram,RB,team,6700.0,18.67
41,Christian McCaffrey,RB,team,6100.0,16.73
42,Carlos Hyde,RB,team,5900.0,15.93
43,Le'Veon Bell,RB,team,9100.0,24.19
44,Chris Thompson,RB,team,5700.0,15.19
45,Alvin Kamara,RB,team,5600.0,14.77
46,Leonard Fournette,RB,team,8600.0,22.72
47,DeMarco Murray,RB,team,6200.0,16.16
48,Javorius Allen,RB,team,5300.0,13.85
49,Jerick McKinnon,RB,team,6300.0,16.41
50,Duke Johnson,RB,team,4900.0,12.76
51,Tevin Coleman,RB,team,4800.0,12.45
52,Todd Gurley,RB,team,8200.0,20.61
53,James White,RB,team,5000.0,12.52
54,Shane Vereen,RB,team,3600.0,8.93
55,Ezekiel Elliott,RB,team,9000.0,22.19
56,Giovani Bernard,RB,team,3800.0,9.24
57,LeGarrette Blount,RB,team,4500.0,10.69
58,Andre Ellington,RB,team,4300.0,10.14
59,Tarik Cohen,RB,team,4700.0,10.9
60,Aaron Jones,RB,team,5200.0,11.91
61,Mike Gillislee,RB,team,4500.0,10.24
62,Jordan Howard,RB,team,6400.0,14.5
63,Ty Montgomery,RB,team,5500.0,12.47
64,Latavius Murray,RB,team,4000.0,8.92
65,Orleans Darkwa,RB,team,3700.0,8.15
66,Matt Forte,RB,team,4500.0,9.87
67,C.J. Anderson,RB,team,7200.0,15.73
68,Derrick Henry,RB,team,5500.0,11.87
69,Adrian Peterson,RB,team,5800.0,12.32
70,Wayne Gallman,RB,team,3900.0,8.19
71,Dion Lewis,RB,team,4700.0,9.35
72,Doug Martin,RB,team,5900.0,11.49
73,Matt Breida,RB,team,4400.0,8.51
74,Robert Kelley,RB,team,4200.0,7.92
75,Wendell Smallwood,RB,team,4700.0,8.63
76,Alex Collins,RB,team,4000.0,7.17
77,C.J. Prosise,RB,team,4100.0,7.07
78,Marlon Mack,RB,team,4100.0,7.05
79,Jamaal Charles,RB,team,4100.0,6.98
80,Chris Ivory,RB,team,4800.0,8.13
81,Charles Sims,RB,team,3500.0,5.83
82,Eddie Lacy,RB,team,3900.0,6.23
83,Bilal Powell,RB,team,5100.0,7.99
84,Damien Williams,RB,team,3700.0,5.63
85,Thomas Rawls,RB,team,4100.0,6.04
