['20161025', 'nyk', '+9½']
['20161025', 'cle', '-9½']
['20161025', 'uta', '+6½']
['20161025', 'por', '-6½']
['20161025', 'sas', '+9']
['20161025', 'gsw', '-9']
['20161026', 'dal', '+6']
['20161026', 'ind', '-6']
['20161026', 'mia', '+3½']
['20161026', 'orl', '-3½']
['20161026', 'bkn', '+12']
['20161026', 'bos', '-12']
['20161026', 'det', '+7']
['20161026', 'tor', '-7']
['20161026', 'okc', '-9½']
['20161026', 'phi', '+9½']
['20161026', 'min', '-2']
['20161026', 'mem', '+2']
['20161026', 'cha', '-2']
['20161026', 'mil', '+2']
['20161026', 'den', '+1½']
['20161026', 'nop', '-1½']
['20161026', 'sac', '+3']
['20161026', 'phx', '-3']
['20161026', 'hou', '-6½']
['20161026', 'lac', '+6½']
['20161027', 'was', '+4']
['20161027', 'atl', '-4']
['20161027', 'bos', '+1½']
['20161027', 'chi', '-1½']
['20161027', 'sas', '-8½']
['20161027', 'sac', '+8½']
['20161027', 'lal', '-3']
['20161027', 'por', '+3']
['20161028', 'cle', '-3½']
['20161028', 'tor', '+3½']
['20161028', 'orl', '+4']
['20161028', 'det', '-4']
['20161028', 'ind', '-6½']
['20161028', 'bkn', '+6½']
['20161028', 'phx', '+8']
['20161028', 'okc', '-8']
['20161028', 'cha', '-1½']
['20161028', 'mia', '+1½']
['20161028', 'hou', '-2']
['20161028', 'dal', '+2']
['20161028', 'lac', '+9']
['20161028', 'uta', '-9']
['20161028', 'gsw', '-12½']
['20161028', 'nop', '+12½']
['20161029', 'atl', '-8']
['20161029', 'phi', '+8']
['20161029', 'bos', '-3']
['20161029', 'cha', '+3']
['20161029', 'mem', '+3']
['20161029', 'nyk', '-3']
['20161029', 'orl', '+11½']
['20161029', 'cle', '-11½']
['20161029', 'nop', '+14']
['20161029', 'sas', '-14']
['20161029', 'bkn', '+8']
['20161029', 'mil', '-8']
['20161029', 'ind', '+3½']
['20161029', 'chi', '-3½']
['20161029', 'por', '-1½']
['20161029', 'den', '+1½']
['20161029', 'min', 'PK-110']
['20161029', 'sac', 'PK-110']
['20161030', 'uta', '+7½']
['20161030', 'lal', '-7½']
['20161030', 'sas', '-6½']
['20161030', 'mia', '+6½']
['20161030', 'gsw', '-12']
['20161030', 'phx', '+12']
['20161030', 'mil', '+7½']
['20161030', 'det', '-7½']
['20161030', 'lac', '+8½']
['20161030', 'okc', '-8½']
['20161030', 'was', '-3½']
['20161030', 'mem', '+3½']
['20161030', 'dal', '+4½']
['20161030', 'hou', '-4½']
['20161031', 'sac', '+7']
['20161031', 'atl', '-7']
['20161031', 'den', '+7']
['20161031', 'tor', '-7']
['20161031', 'chi', '-7']
['20161031', 'bkn', '+7']
['20161031', 'phx', '+12']
['20161031', 'lal', '-12']
['20161101', 'hou', '+9½']
['20161101', 'cle', '-9½']
['20161101', 'lac', '+9']
['20161101', 'ind', '-9']
['20161101', 'orl', '-5']
['20161101', 'phi', '+5']
['20161101', 'nyk', '+4']
['20161101', 'det', '-4']
['20161101', 'sac', '+4']
['20161101', 'mia', '-4']
['20161101', 'mem', '+7']
['20161101', 'min', '-7']
['20161101', 'mil', '+4']
['20161101', 'nop', '-4']
['20161101', 'uta', '+10']
['20161101', 'sas', '-10']
['20161101', 'gsw', '-6']
['20161101', 'por', '+6']
['20161102', 'tor', '-1']
['20161102', 'was', '+1']
['20161102', 'phi', '+13']
['20161102', 'cha', '-13']
['20161102', 'lac', '+12']
['20161102', 'atl', '-12']
['20161102', 'det', '-4½']
['20161102', 'bkn', '+4½']
['20161102', 'hou', 'PK-110']
['20161102', 'nyk', 'PK-110']
['20161102', 'nop', '+5']
['20161102', 'mem', '-5']
['20161102', 'chi', '+3']
['20161102', 'bos', '-3']
['20161102', 'dal', '+3']
['20161102', 'uta', '-3']
['20161102', 'por', '-3']
['20161102', 'phx', '+3']
['20161102', 'okc', '+7½']
['20161102', 'lal', '-7½']
['20161103', 'sac', '-1']
['20161103', 'orl', '+1']
['20161103', 'den', '+3½']
['20161103', 'min', '-3½']
['20161103', 'bos', '+10½']
['20161103', 'cle', '-10½']
['20161103', 'ind', '-3']
['20161103', 'mil', '+3']
['20161103', 'okc', '+11½']
['20161103', 'gsw', '-11½']
['20161104', 'atl', '+1']
['20161104', 'was', '-1']
['20161104', 'mia', '+7']
['20161104', 'tor', '-7']
['20161104', 'cha', '-7']
['20161104', 'bkn', '+7']
['20161104', 'phx', '+3']
['20161104', 'nop', '-3']
['20161104', 'nyk', '+8']
['20161104', 'chi', '-8']
['20161104', 'lal', '-6']
['20161104', 'mem', '+6']
['20161104', 'por', '-3']
['20161104', 'dal', '+3']
['20161104', 'sas', '-4½']
['20161104', 'uta', '+4½']
['20161104', 'gsw', '-12½']
['20161104', 'lac', '+12½']
['20161105', 'min', '+5']
['20161105', 'okc', '-5']
['20161105', 'cle', '-12½']
['20161105', 'phi', '+12½']
['20161105', 'was', '+6½']
['20161105', 'orl', '-6½']
['20161105', 'chi', '+3½']
['20161105', 'ind', '-3½']
['20161105', 'den', '+4½']
['20161105', 'det', '-4½']
['20161105', 'hou', '+3']
['20161105', 'atl', '-3']
['20161105', 'sac', '+3½']
['20161105', 'mil', '-3½']
['20161105', 'lal', '+5½']
['20161105', 'sas', '-5½']
['20161106', 'uta', '-2½']
['20161106', 'nyk', '+2½']
['20161106', 'por', 'PK-110']
['20161106', 'mem', 'PK-110']
